F	1.1	Integers
F	1.2	Fractions
F	1.3	Decimals
F	1.4	Powers and roots
F	1.5	Set language and notation
F	1.6	Percentages
F	1.7	Ratio and proportion
F	1.8	Degree of accuracy
F	1.9	Standard form
F	1.10	Applying number
F	1.11	Electronic calculators
F	2.1	Use of symbols
F	2.2	Algebraic manipulation
F	2.3	Expressions and formulae
F	2.4	Linear equations
F	2.5	Proportion
F	2.6	Simultaneous linear equations
F	2.7	Quadratic equations
F	2.8	Inequalities
F	3.1	Sequences
F	3.2	Function notation
F	3.3	Graphs
F	3.4	Calculus
F	4.1	Angles, lines and triangles
F	4.2	Polygons
F	4.3	Symmetry
F	4.4	Measures
F	4.5	Construction
F	4.6	Circle properties
F	4.7	Geometrical reasoning
F	4.8	Trigonometry and Pythagoras’ theorem
F	4.9	Mensuration of 2D shapes
F	4.10	3D shapes and volume
F	4.11	Similarity
F	5.1	Vectors
F	5.2	Transformation geometry
F	6.1	Graphical representation of data
F	6.2	Statistical measures
F	6.3	Probability
H	1.1	Integers
H	1.2	Fractions
H	1.3	Decimals
H	1.4	Powers and roots
H	1.5	Set language and notation
H	1.6	Percentages
H	1.7	Ratio and proportion
H	1.8	Degree of accuracy
H	1.9	Standard form
H	1.10	Applying number
H	1.11	Electronic calculators
H	2.1	Use of symbols
H	2.2	Algebraic manipulation
H	2.3	Expressions and formulae
H	2.4	Linear equations
H	2.5	Proportion
H	2.6	Simultaneous linear equations
H	2.7	Quadratic equations
H	2.8	Inequalities
H	3.1	Sequences
H	3.2	Function notation
H	3.3	Graphs
H	3.4	Calculus
H	4.1	Angles, lines and triangles
H	4.2	Polygons
H	4.3	Symmetry
H	4.4	Measures
H	4.5	Construction
H	4.6	Circle properties
H	4.7	Geometrical reasoning
H	4.8	Trigonometry and Pythagoras’ theorem
H	4.9	Mensuration
H	4.10	3D shapes and volume
H	4.11	Similarity
H	5.1	Vectors
H	5.2	Transformation geometry
H	6.1	Graphical representation of data
H	6.2	Statistical measures
H	6.3	Probability
